road,km,lat,lng
BLB,6.35,0.507163,127.964092
BLB,6.375,0.507368,127.964187
BLB,6.4,0.507566,127.964296
BLB,6.425,0.507759,127.964413
BLB,6.45,0.507952,127.96453
BLB,6.475,0.508136,127.96466
BLB,6.5,0.508305,127.96481
BLB,6.525,0.508456,127.964977
BLB,6.55,0.508586,127.96516
BLB,6.575,0.508763,127.965291
BLB,6.6,0.508985,127.965267
BLB,6.625,0.50921,127.965219
BLB,6.65,0.509434,127.965188
BLB,6.675,0.509658,127.965156
BLB,6.7,0.509882,127.965125
BLB,6.725,0.510106,127.965093
BLB,6.75,0.51033,127.965062
BLB,6.775,0.510554,127.96503
BLB,6.8,0.510778,127.964999
BLB,6.825,0.511002,127.964967
BLB,6.85,0.511225,127.964936
BLB,6.875,0.511449,127.964904
BLB,6.9,0.511673,127.964872
BLB,6.925,0.511896,127.964835
BLB,6.95,0.512118,127.964793
BLB,6.975,0.51234,127.964747
BLB,7.0,0.51256,127.964698
BLB,7.025,0.512781,127.96465
BLB,7.05,0.513002,127.964601
BLB,7.075,0.513223,127.964553
BLB,7.1,0.513444,127.964505
BLB,7.125,0.513665,127.964456
BLB,7.15,0.513886,127.964408
BLB,7.175,0.514106,127.96436
BLB,7.2,0.514327,127.964311
BLB,7.225,0.514548,127.964263
BLB,7.25,0.514769,127.964215
BLB,7.275,0.51499,127.964166
BLB,7.3,0.515211,127.964118
BLB,7.325,0.515433,127.96408
BLB,7.35,0.515659,127.96406
BLB,7.375,0.515885,127.964059
BLB,7.4,0.51611,127.964076
BLB,7.425,0.516333,127.964112
BLB,7.45,0.516555,127.964158
BLB,7.475,0.516776,127.964204
BLB,7.5,0.516997,127.964249
BLB,7.525,0.517219,127.964295
BLB,7.55,0.51744,127.964341
BLB,7.575,0.517662,127.964386
BLB,7.6,0.517883,127.964432
BLB,7.625,0.518105,127.964478
BLB,7.65,0.518324,127.964531
BLB,7.675,0.518541,127.964595
BLB,7.7,0.518762,127.964642
BLB,7.725,0.518986,127.964672
BLB,7.75,0.519209,127.964708
BLB,7.775,0.519432,127.96475
BLB,7.8,0.519657,127.96477
BLB,7.825,0.519882,127.964761
BLB,7.85,0.520105,127.964723
BLB,7.875,0.520321,127.964658
BLB,7.9,0.520534,127.964582
BLB,7.925,0.520747,127.964505
BLB,7.95,0.520955,127.964417
BLB,7.975,0.52117,127.964349
BLB,8.0,0.521392,127.964308
BLB,8.025,0.521618,127.964301
BLB,8.05,0.521843,127.964328
BLB,8.075,0.52206,127.964388
BLB,8.1,0.522266,127.96448
BLB,8.125,0.522456,127.964602
BLB,8.15,0.522625,127.964751
BLB,8.175,0.522769,127.964924
BLB,8.2,0.522896,127.96511
BLB,8.225,0.523046,127.965276
BLB,8.25,0.523249,127.965373
BLB,8.275,0.523461,127.96545
BLB,8.3,0.523682,127.965497
BLB,8.325,0.523904,127.965544
BLB,8.35,0.524127,127.965575
BLB,8.375,0.524353,127.965574
BLB,8.4,0.524577,127.965541
BLB,8.425,0.524794,127.965477
BLB,8.45,0.524999,127.965383
BLB,8.475,0.525188,127.965261
BLB,8.5,0.525359,127.965114
BLB,8.525,0.525506,127.964943
BLB,8.55,0.525641,127.964763
BLB,8.575,0.525768,127.964577
BLB,8.6,0.525881,127.964383
BLB,8.625,0.525982,127.964182
BLB,8.65,0.526068,127.963974
BLB,8.675,0.526145,127.963763
BLB,8.7,0.52623,127.963555
BLB,8.725,0.526334,127.963355
BLB,8.75,0.526454,127.963165
BLB,8.775,0.526583,127.96298
BLB,8.8,0.526715,127.962798
BLB,8.825,0.526867,127.962632
BLB,8.85,0.527021,127.962467
BLB,8.875,0.527174,127.962302
BLB,8.9,0.527328,127.962138
BLB,8.925,0.527485,127.961976
BLB,8.95,0.527651,127.961823
BLB,8.975,0.527825,127.96168
BLB,9.0,0.528008,127.961548
BLB,9.025,0.528197,127.961425
BLB,9.05,0.528393,127.961314
BLB,9.075,0.528596,127.961213
BLB,9.1,0.528803,127.961124
BLB,9.125,0.529016,127.961047
BLB,9.15,0.529232,127.960982
BLB,9.175,0.529451,127.960926
BLB,9.2,0.529675,127.960891
BLB,9.225,0.529899,127.960867
BLB,9.25,0.530125,127.960853
BLB,9.275,0.530351,127.96086
BLB,9.3,0.530575,127.960887
BLB,9.325,0.530797,127.960934
BLB,9.35,0.531015,127.960991
BLB,9.375,0.531234,127.961049
BLB,9.4,0.531454,127.961098
BLB,9.425,0.53168,127.961098
BLB,9.45,0.531902,127.961056
BLB,9.475,0.532096,127.960952
BLB,9.5,0.532165,127.960741
BLB,9.525,0.532204,127.96052
BLB,9.55,0.532251,127.9603
BLB,9.575,0.532377,127.960116
BLB,9.6,0.532568,127.959998
BLB,9.625,0.532773,127.959903
BLB,9.65,0.532979,127.959811
BLB,9.675,0.533071,127.959614
BLB,9.7,0.533113,127.959393
BLB,9.725,0.533185,127.959181
BLB,9.75,0.533292,127.958983
BLB,9.775,0.533452,127.958825
BLB,9.8,0.533623,127.958678
BLB,9.825,0.533777,127.958515
BLB,9.85,0.533927,127.958346
BLB,9.875,0.534095,127.958196
BLB,9.9,0.534199,127.958007
BLB,9.925,0.534114,127.9578
BLB,9.95,0.534,127.957606
BLB,9.975,0.533971,127.957389
BLB,10.0,0.534034,127.957173
BLB,10.025,0.534075,127.956952
BLB,10.05,0.534073,127.956728
BLB,10.075,0.534057,127.956505
BLB,10.1,0.534139,127.956298
BLB,10.125,0.534409,127.956071
BLB,17.15,0.534417,127.95607
BLB,17.175,0.534456,127.956241
BLB,17.2,0.534537,127.956451
BLB,17.225,0.534584,127.95667
BLB,17.25,0.534578,127.956894
BLB,17.275,0.534633,127.957104
BLB,17.3,0.53484,127.957167
BLB,17.325,0.534999,127.957022
BLB,17.35,0.535063,127.956807
BLB,17.375,0.535238,127.956673
BLB,17.4,0.535459,127.956628
BLB,17.425,0.535681,127.956584
BLB,17.45,0.535903,127.956541
BLB,17.475,0.536125,127.956497
BLB,17.5,0.53634,127.956431
BLB,17.525,0.536542,127.95633
BLB,17.55,0.536727,127.956201
BLB,17.575,0.536909,127.956067
BLB,17.6,0.5371,127.955949
BLB,17.625,0.537315,127.955989
BLB,17.65,0.537422,127.956178
BLB,17.675,0.537344,127.956382
BLB,17.7,0.537157,127.956509
BLB,17.725,0.536969,127.956632
BLB,17.75,0.536781,127.956758
BLB,17.775,0.536624,127.956918
BLB,17.8,0.536517,127.957115
BLB,17.825,0.536442,127.957327
BLB,17.85,0.536354,127.957534
BLB,17.875,0.536234,127.957724
BLB,17.9,0.536091,127.957898
BLB,17.925,0.535946,127.958071
BLB,17.95,0.535802,127.958244
BLB,17.975,0.535681,127.95843
BLB,18.0,0.535751,127.958633
BLB,18.025,0.535963,127.958676
BLB,18.05,0.536107,127.958516
BLB,18.075,0.536193,127.958309
BLB,18.1,0.536351,127.95815
BLB,18.125,0.536534,127.958018
BLB,18.15,0.536716,127.957885
BLB,18.175,0.536865,127.957718
BLB,18.2,0.536942,127.957508
BLB,18.225,0.537103,127.957364
BLB,18.25,0.537309,127.957429
BLB,18.275,0.537357,127.957638
BLB,18.3,0.537258,127.95784
BLB,18.325,0.537132,127.958027
BLB,18.35,0.536977,127.95819
BLB,18.375,0.536812,127.958343
BLB,18.4,0.536646,127.958495
BLB,18.425,0.536577,127.958699
BLB,18.45,0.536719,127.958861
BLB,18.475,0.536931,127.958821
BLB,18.5,0.53712,127.95871
BLB,18.525,0.537314,127.958805
BLB,18.55,0.537329,127.959019
BLB,18.575,0.53718,127.959187
BLB,18.6,0.537029,127.959354
BLB,18.625,0.536924,127.959552
BLB,18.65,0.536878,127.959771
BLB,18.675,0.536894,127.959995
BLB,18.7,0.536957,127.96021
BLB,18.725,0.536957,127.960429
BLB,18.75,0.536796,127.960578
BLB,18.775,0.536574,127.960567
BLB,18.8,0.536356,127.960593
BLB,18.825,0.536204,127.960757
BLB,18.85,0.536132,127.960968
BLB,18.875,0.536077,127.961184
BLB,18.9,0.535921,127.961343
BLB,18.925,0.535709,127.96142
BLB,18.95,0.535498,127.961502
BLB,18.975,0.535296,127.961602
BLB,19.0,0.535102,127.961717
BLB,19.025,0.534919,127.961849
BLB,19.05,0.534743,127.96199
BLB,19.075,0.534662,127.962193
BLB,19.1,0.534759,127.962389
BLB,19.125,0.53497,127.962449
BLB,19.15,0.535177,127.962362
BLB,19.175,0.535399,127.962327
BLB,19.2,0.535616,127.962384
BLB,19.225,0.535821,127.962479
BLB,19.25,0.536038,127.962539
BLB,19.275,0.536263,127.962562
BLB,19.3,0.536488,127.962548
BLB,19.325,0.53671,127.962506
BLB,19.35,0.536932,127.962461
BLB,19.375,0.537154,127.962417
BLB,19.4,0.537375,127.962372
BLB,19.425,0.537597,127.962328
BLB,19.45,0.537819,127.962289
BLB,19.475,0.538036,127.962343
BLB,19.5,0.538232,127.962454
BLB,19.525,0.538454,127.962482
BLB,19.55,0.53867,127.962418
BLB,19.575,0.538843,127.962276
BLB,19.6,0.539002,127.962117
BLB,19.625,0.5392,127.96201
BLB,19.65,0.539423,127.961983
BLB,19.675,0.53964,127.96204
BLB,19.7,0.539821,127.962173
BLB,19.725,0.539939,127.962363
BLB,19.75,0.539982,127.962582
BLB,19.775,0.540016,127.962804
BLB,19.8,0.540113,127.963006
BLB,19.825,0.540268,127.963169
CBB,6.3,0.479714,127.937013
CBB,6.325,0.479947,127.937024
CBB,6.35,0.480173,127.937027
CBB,6.375,0.480398,127.937028
CBB,6.4,0.480626,127.937009
CBB,6.425,0.480869,127.937024
CBB,6.45,0.481086,127.937039
CBB,6.475,0.481325,127.937033
CBB,6.5,0.48153,127.937019
CBB,6.525,0.481744,127.937005
CBB,6.55,0.481954,127.93702
CBB,6.575,0.482129,127.937107
CBB,6.6,0.482256,127.937223
CBB,6.625,0.482275,127.937453
CBB,6.65,0.482221,127.937634
CBB,6.675,0.482035,127.937729
CBB,6.7,0.481864,127.937779
CBB,6.725,0.481607,127.937832
CBB,6.75,0.48139,127.937896
CBB,6.775,0.481217,127.937995
CBB,6.8,0.481071,127.938099
CBB,6.825,0.480921,127.938248
CBB,6.85,0.48081,127.938419
CBB,6.875,0.480855,127.938589
CBB,6.9,0.480948,127.938715
CBB,6.925,0.481118,127.938888
CBB,6.95,0.481262,127.939042
CBB,6.975,0.481433,127.93922
CBB,7.0,0.481563,127.939385
CBB,7.025,0.481655,127.939589
CBB,7.05,0.48172,127.939787
CBB,7.075,0.481805,127.940009
CBB,7.1,0.481873,127.940211
CBB,7.125,0.48197,127.940397
CBB,7.15,0.48208,127.940515
CBB,7.175,0.482271,127.940537
CBB,7.2,0.482481,127.94051
CBB,7.225,0.482647,127.94064
CBB,7.25,0.48272,127.940855
CBB,7.275,0.482652,127.94107
CBB,7.3,0.482543,127.941238
CBB,7.325,0.482426,127.941453
CBB,7.35,0.482316,127.941634
CBB,7.375,0.48221,127.941832
CBB,7.4,0.482098,127.942019
CBB,7.425,0.482017,127.942219
CBB,7.45,0.481965,127.94241
CBB,7.475,0.481947,127.942612
CBB,7.5,0.482006,127.942783
CBB,7.525,0.482201,127.942733
CBB,7.55,0.482365,127.942628
CBB,7.575,0.482522,127.942495
CBB,7.6,0.482668,127.942364
CBB,7.625,0.482851,127.942238
CBB,7.65,0.483037,127.942117
CBB,7.675,0.483208,127.941969
CBB,7.7,0.483345,127.941799
CBB,7.725,0.483469,127.941619
CBB,7.75,0.483604,127.941448
CBB,7.775,0.483742,127.941271
CBB,7.8,0.483879,127.941084
CBB,7.825,0.48401,127.940918
CBB,7.85,0.484151,127.940747
CBB,7.875,0.48433,127.940607
CBB,7.9,0.484511,127.940502
CBB,7.925,0.484709,127.940406
CBB,7.95,0.484871,127.940336
CBB,7.975,0.485052,127.940224
CBB,8.0,0.485203,127.940116
CBB,8.025,0.485283,127.939981
CBB,8.05,0.485334,127.939773
CBB,8.075,0.48529,127.939579
CBB,8.1,0.485212,127.939387
CBB,8.125,0.485184,127.939158
CBB,8.15,0.485224,127.938939
CBB,8.175,0.48533,127.938713
CBB,8.2,0.485501,127.938541
CBB,8.225,0.485702,127.938426
CBB,8.25,0.485902,127.938321
CBB,8.275,0.486102,127.938216
CBB,8.3,0.486302,127.938111
CBB,8.325,0.486502,127.938006
CBB,8.35,0.486702,127.937902
CBB,8.375,0.486908,127.937797
CBB,8.4,0.487123,127.93771
CBB,8.425,0.487347,127.937646
CBB,8.45,0.487575,127.937604
CBB,8.475,0.487807,127.937586
CBB,8.5,0.488034,127.937587
CBB,8.525,0.48826,127.937588
CBB,8.55,0.488487,127.937589
CBB,8.575,0.488713,127.93759
CBB,8.6,0.48893,127.937587
CBB,8.625,0.489139,127.937547
CBB,8.65,0.489336,127.937463
CBB,8.675,0.489536,127.93735
CBB,8.7,0.489749,127.937254
CBB,8.725,0.489972,127.937184
CBB,8.75,0.490201,127.937141
CBB,8.775,0.490434,127.937125
CBB,8.8,0.490668,127.937136
CBB,8.825,0.490895,127.937174
CBB,8.85,0.491116,127.937218
CBB,8.875,0.491332,127.937252
CBB,8.9,0.49155,127.937261
CBB,8.925,0.491768,127.937243
CBB,8.95,0.491982,127.9372
CBB,8.975,0.49219,127.937132
CBB,9.0,0.492387,127.937039
CBB,9.025,0.492573,127.936924
CBB,9.05,0.492743,127.936789
CBB,9.075,0.492897,127.936632
CBB,9.1,0.493048,127.936465
CBB,9.125,0.493197,127.936296
CBB,9.15,0.493346,127.936127
CBB,9.175,0.493495,127.935957
CBB,9.2,0.493641,127.935786
CBB,9.225,0.493792,127.935615
CBB,9.25,0.493957,127.935454
CBB,9.275,0.494135,127.935306
CBB,9.3,0.494324,127.935174
CBB,9.325,0.494524,127.935058
CBB,9.35,0.494733,127.934959
CBB,9.375,0.494949,127.934878
CBB,9.4,0.495171,127.934813
CBB,9.425,0.495397,127.934769
CBB,9.45,0.495621,127.934734
CBB,9.475,0.495844,127.934699
CBB,9.5,0.496068,127.934666
CBB,9.525,0.496291,127.934632
CBB,9.55,0.496515,127.934597
CBB,9.575,0.496736,127.934563
CBB,9.6,0.496945,127.934513
CBB,9.625,0.497143,127.934429
CBB,9.65,0.497326,127.934311
CBB,9.675,0.497506,127.934175
CBB,9.7,0.497686,127.934039
CBB,9.725,0.497867,127.933902
CBB,9.75,0.498064,127.933772
CBB,9.775,0.49828,127.933677
CBB,9.8,0.498509,127.933618
CBB,9.825,0.498744,127.933599
CBB,9.85,0.49897,127.933602
CBB,9.875,0.499196,127.933605
CBB,9.9,0.499422,127.933608
CBB,9.925,0.499648,127.933611
CBB,9.95,0.499872,127.933613
CBB,9.975,0.500092,127.933602
CBB,10.0,0.500309,127.933563
CBB,10.025,0.500528,127.933516
CBB,10.05,0.500749,127.933466
CBB,10.075,0.500969,127.933415
CBB,10.1,0.50119,127.933369
CBB,10.125,0.501411,127.933318
CBB,10.15,0.501631,127.933268
CBB,10.175,0.501851,127.933218
CBB,10.2,0.502073,127.933165
CBB,10.225,0.502297,127.933122
CBB,10.25,0.502522,127.933084
CBB,10.275,0.502747,127.933052
CBB,10.3,0.502974,127.933026
CBB,10.325,0.503201,127.933005
CBB,10.35,0.503428,127.93299
CBB,10.375,0.503656,127.93298
CBB,10.4,0.503882,127.932973
CBB,10.425,0.504108,127.932969
CBB,10.45,0.504334,127.932964
CBB,10.475,0.504561,127.932959
CBB,10.5,0.504787,127.932956
CBB,10.525,0.505013,127.932951
CBB,10.55,0.505225,127.932947
CBB,10.575,0.505411,127.932885
CBB,10.6,0.505555,127.932753
CBB,10.625,0.505635,127.932564
CBB,10.65,0.505697,127.932343
CBB,10.675,0.505815,127.932118
CBB,10.7,0.506011,127.931962
CBB,10.725,0.506214,127.931864
CBB,10.75,0.506418,127.931767
CBB,10.775,0.506621,127.931669
CBB,10.8,0.506788,127.931582
CBB,10.825,0.506853,127.931428
CBB,10.85,0.506794,127.931201
CBB,10.875,0.5067,127.930976
CBB,10.9,0.506851,127.930741
CBB,10.925,0.507127,127.930693
CBB,10.95,0.507349,127.930864
CBB,10.975,0.507376,127.931106
CBB,11.0,0.507415,127.931343
CBB,11.025,0.507393,127.931568
CBB,11.05,0.507376,127.931772
CBB,11.075,0.507289,127.931966
CBB,11.1,0.507188,127.932149
CBB,11.125,0.507035,127.932273
CBB,11.15,0.506821,127.932408
CBB,11.175,0.506755,127.932671
CBB,11.2,0.506944,127.932763
CBB,11.225,0.507102,127.932819
CBB,11.25,0.507277,127.932723
CBB,11.275,0.507457,127.932588
CBB,11.3,0.507637,127.932452
CBB,11.325,0.507848,127.932309
CBB,11.35,0.508125,127.932327
CBB,11.375,0.508166,127.932595
CBB,11.4,0.508124,127.93278
CBB,11.425,0.508094,127.933042
CBB,11.45,0.508296,127.933115
CBB,11.475,0.508457,127.933156
CBB,11.5,0.508639,127.933043
CBB,11.525,0.508909,127.932977
CBB,11.55,0.509139,127.933132
CBB,11.575,0.509071,127.933422
CBB,11.6,0.509252,127.933547
CBB,11.625,0.509388,127.933675
CBB,11.65,0.509628,127.933764
CBB,11.675,0.509849,127.93381
CBB,11.7,0.51007,127.933857
CBB,11.725,0.510292,127.933903
CBB,11.75,0.510513,127.93395
CBB,11.775,0.510732,127.934003
CBB,11.8,0.510946,127.934076
CBB,11.825,0.511158,127.934155
CBB,11.85,0.51137,127.934234
CBB,11.875,0.511585,127.934304
CBB,11.9,0.511809,127.93433
CBB,11.925,0.512033,127.934308
CBB,11.95,0.512253,127.934255
CBB,11.975,0.512473,127.934202
CBB,12.0,0.512693,127.934149
CBB,12.025,0.512913,127.934096
CBB,12.05,0.513136,127.934064
CBB,12.075,0.513361,127.934045
CBB,12.1,0.513587,127.934027
CBB,12.125,0.513812,127.934009
CBB,12.15,0.514038,127.933991
CBB,12.175,0.514263,127.933967
CBB,12.2,0.514485,127.933926
CBB,12.225,0.514702,127.933865
CBB,12.25,0.514914,127.933786
CBB,12.275,0.515119,127.933692
CBB,12.3,0.515324,127.933596
CBB,12.325,0.515528,127.933499
CBB,12.35,0.515732,127.933403
CBB,12.375,0.515936,127.933306
CBB,12.4,0.51614,127.93321
CBB,12.425,0.516345,127.933113
CBB,12.45,0.516549,127.933017
CBB,12.475,0.516753,127.93292
CBB,12.5,0.516957,127.932824
CBB,12.525,0.517161,127.932727
CBB,12.55,0.517366,127.932631
CBB,12.575,0.51757,127.932534
CBB,12.6,0.517774,127.932438
CBB,12.625,0.517978,127.932341
CBB,12.65,0.51819,127.932262
CBB,12.675,0.518409,127.932209
CBB,12.7,0.518634,127.932184
CBB,12.725,0.51886,127.932184
CBB,12.75,0.519086,127.93219
CBB,12.775,0.519312,127.932196
CBB,12.8,0.519538,127.932202
CBB,12.825,0.519764,127.932208
CBB,12.85,0.51999,127.932214
CBB,12.875,0.520216,127.932208
CBB,12.9,0.520441,127.932185
CBB,12.925,0.520666,127.932156
CBB,12.95,0.52089,127.932127
CBB,12.975,0.521114,127.932098
CBB,13.0,0.521338,127.932069
CBB,13.025,0.521562,127.932039
CBB,13.05,0.521786,127.932008
CBB,13.075,0.522008,127.931964
CBB,13.1,0.522227,127.931906
CBB,13.125,0.522441,127.931835
CBB,13.15,0.522653,127.931757
CBB,13.175,0.522866,127.93168
CBB,13.2,0.523078,127.931603
CBB,13.225,0.52329,127.931526
CBB,13.25,0.523503,127.931448
CBB,13.275,0.523715,127.931371
CBB,13.3,0.523927,127.931294
CBB,13.325,0.52414,127.931217
CBB,13.35,0.524352,127.931139
CBB,13.375,0.524563,127.931059
CBB,13.4,0.524762,127.930952
CBB,13.425,0.524941,127.930816
CBB,13.45,0.525114,127.930671
CBB,13.475,0.525269,127.930604
CBB,13.575,0.525446,127.93058
CBB,13.6,0.525654,127.93069
CBB,13.625,0.525845,127.930826
CBB,13.65,0.526019,127.930984
CBB,13.675,0.526171,127.931162
CBB,13.7,0.526299,127.931357
CBB,13.725,0.526402,127.931567
CBB,13.75,0.526346,127.931858
CBB,13.775,0.526394,127.932075
CBB,13.8,0.526441,127.932295
CBB,13.825,0.526489,127.932514
CBB,13.85,0.526536,127.932734
CBB,13.875,0.526583,127.932953
CBB,13.9,0.526631,127.933173
CBB,13.925,0.526678,127.933393
CBB,13.95,0.526726,127.933612
CBB,13.975,0.526773,127.933832
CBB,14.0,0.526819,127.934052
CBB,14.025,0.526866,127.934272
CBB,14.05,0.526914,127.934491
CBB,14.075,0.526961,127.934711
CBB,14.1,0.527012,127.93493
CBB,14.125,0.527059,127.93515
CBB,14.15,0.527107,127.935369
CBB,14.175,0.527154,127.935589
CBB,14.2,0.527198,127.935809
CBB,14.225,0.527245,127.936029
CBB,14.25,0.527293,127.936249
CBB,14.275,0.527347,127.936472
CBB,14.3,0.527545,127.936605
CBB,14.325,0.527628,127.936808
CBB,14.35,0.527727,127.937003
CBB,14.375,0.527843,127.937188
CBB,14.4,0.527973,127.937385
CBB,14.425,0.527935,127.937681
CBB,14.45,0.527982,127.937887
CBB,14.475,0.527994,127.938099
CBB,14.5,0.527973,127.93831
CBB,14.525,0.527914,127.938514
CBB,14.55,0.527823,127.938705
CBB,14.575,0.527701,127.938879
CBB,14.6,0.527551,127.939031
CBB,14.625,0.527378,127.939155
CBB,14.65,0.527187,127.93925
CBB,14.675,0.526982,127.939311
CBB,14.7,0.526815,127.939455
CBB,14.725,0.527045,127.939618
CBB,14.75,0.527224,127.939756
CBB,14.775,0.527401,127.939896
CBB,14.8,0.527567,127.940048
CBB,14.825,0.527716,127.940217
CBB,14.85,0.527856,127.940393
CBB,14.875,0.527996,127.94057
CBB,14.9,0.528136,127.940746
CBB,14.925,0.528276,127.940922
CBB,14.95,0.528416,127.941099
CBB,14.975,0.528556,127.941275
CBB,15.0,0.528696,127.941452
CBB,15.025,0.528861,127.941604
CBB,15.05,0.529066,127.941696
CBB,15.075,0.529281,127.941766
CBB,15.1,0.529496,127.941837
CBB,15.125,0.529699,127.941933
CBB,15.15,0.529869,127.942081
CBB,15.175,0.52999,127.942269
CBB,15.2,0.530067,127.94248
CBB,15.225,0.53014,127.942693
CBB,15.25,0.530213,127.942906
CBB,15.275,0.530285,127.943119
CBB,15.3,0.530358,127.943331
CBB,15.325,0.53043,127.943544
CBB,15.35,0.530503,127.943757
