HOUR_TS,SEG_ID,DIR,SUM_SPD,FIX_N,TRUCK_N,SUM_TRAV_MS,TRAV_N
1784516400000,CRD KM5-6,down,850.0,50,5,1000,1
1784516400000,CRD KM5-6,up  ,1000.0,50,4,1000,1
1784520000000,TF KM54-55,down,850.0,50,5,1000,1
1784520000000,TF KM54-55,up  ,1000.0,50,4,1000,1
1784520000000,KR KM30-31,down,850.0,50,5,1000,1
1784520000000,KR KM30-31,up  ,1000.0,50,4,1000,1
1784520000000,KR KM20-21,down,850.0,50,5,1000,1
1784520000000,KR KM20-21,up  ,1000.0,50,4,1000,1
1784520000000,CRD KM5-6,down,850.0,50,5,1000,1
1784520000000,CRD KM5-6,up  ,1000.0,50,4,1000,1
1784523600000,TF KM54-55,down,850.0,50,5,1000,1
1784523600000,TF KM54-55,up  ,1000.0,50,4,1000,1
1784523600000,KR KM30-31,down,850.0,50,5,1000,1
1784523600000,KR KM30-31,up  ,1000.0,50,4,1000,1
1784523600000,KR KM20-21,down,850.0,50,5,1000,1
1784523600000,KR KM20-21,up  ,1000.0,50,4,1000,1
1784523600000,CRD KM5-6,down,850.0,50,5,1000,1
1784523600000,CRD KM5-6,up  ,1000.0,50,4,1000,1
1784527200000,TF KM54-55,down,925.0,50,5,1000,1
1784527200000,TF KM54-55,up  ,1075.0,50,4,1000,1
1784527200000,KR KM30-31,down,925.0,50,5,1000,1
1784527200000,KR KM30-31,up  ,1075.0,50,4,1000,1
1784527200000,KR KM20-21,down,925.0,50,5,1000,1
1784527200000,KR KM20-21,up  ,1075.0,50,4,1000,1
1784527200000,CRD KM5-6,down,925.0,50,5,1000,1
1784527200000,CRD KM5-6,up  ,1075.0,50,4,1000,1
1784530800000,TF KM54-55,down,925.0,50,5,1000,1
1784530800000,TF KM54-55,up  ,1075.0,50,4,1000,1
1784530800000,KR KM30-31,down,925.0,50,5,1000,1
1784530800000,KR KM30-31,up  ,1075.0,50,4,1000,1
1784530800000,KR KM20-21,down,925.0,50,5,1000,1
1784530800000,KR KM20-21,up  ,1075.0,50,4,1000,1
1784530800000,CRD KM5-6,down,925.0,50,5,1000,1
1784530800000,CRD KM5-6,up  ,1075.0,50,4,1000,1
1784534400000,TF KM54-55,down,925.0,50,5,1000,1
1784534400000,TF KM54-55,up  ,1075.0,50,4,1000,1
1784534400000,KR KM30-31,down,925.0,50,5,1000,1
1784534400000,KR KM30-31,up  ,1075.0,50,4,1000,1
1784534400000,KR KM20-21,down,925.0,50,5,1000,1
1784534400000,KR KM20-21,up  ,1075.0,50,4,1000,1
1784534400000,CRD KM5-6,down,925.0,50,5,1000,1
1784534400000,CRD KM5-6,up  ,1075.0,50,4,1000,1
1784538000000,TF KM54-55,down,925.0,50,5,1000,1
1784538000000,TF KM54-55,up  ,1075.0,50,4,1000,1
1784538000000,KR KM30-31,down,925.0,50,5,1000,1
1784538000000,KR KM30-31,up  ,1075.0,50,4,1000,1
1784538000000,KR KM20-21,down,925.0,50,5,1000,1
1784538000000,KR KM20-21,up  ,1075.0,50,4,1000,1
1784538000000,CRD KM5-6,down,925.0,50,5,1000,1
1784538000000,CRD KM5-6,up  ,1075.0,50,4,1000,1
1784541600000,TF KM54-55,down,925.0,50,5,1000,1
1784541600000,TF KM54-55,up  ,1075.0,50,4,1000,1
1784541600000,KR KM30-31,down,925.0,50,5,1000,1
1784541600000,KR KM30-31,up  ,1075.0,50,4,1000,1
1784541600000,KR KM20-21,down,925.0,50,5,1000,1
1784541600000,KR KM20-21,up  ,1075.0,50,4,1000,1
1784541600000,CRD KM5-6,down,925.0,50,5,1000,1
1784541600000,CRD KM5-6,up  ,1075.0,50,4,1000,1
1784545200000,TF KM54-55,down,925.0,50,5,1000,1
1784545200000,TF KM54-55,up  ,1075.0,50,4,1000,1
1784545200000,KR KM30-31,down,925.0,50,5,1000,1
1784545200000,KR KM30-31,up  ,1075.0,50,4,1000,1
1784545200000,KR KM20-21,down,925.0,50,5,1000,1
1784545200000,KR KM20-21,up  ,1075.0,50,4,1000,1
1784545200000,CRD KM5-6,down,925.0,50,5,1000,1
1784545200000,CRD KM5-6,up  ,1075.0,50,4,1000,1
1784548800000,TF KM54-55,down,925.0,50,5,1000,1
1784548800000,TF KM54-55,up  ,1075.0,50,4,1000,1
1784548800000,KR KM30-31,down,925.0,50,5,1000,1
1784548800000,KR KM30-31,up  ,1075.0,50,4,1000,1
1784548800000,KR KM20-21,down,925.0,50,5,1000,1
1784548800000,KR KM20-21,up  ,1075.0,50,4,1000,1
1784548800000,CRD KM5-6,down,925.0,50,5,1000,1
1784548800000,CRD KM5-6,up  ,1075.0,50,4,1000,1
1784552400000,TF KM54-55,down,925.0,50,5,1000,1
1784552400000,TF KM54-55,up  ,1075.0,50,4,1000,1
1784552400000,KR KM30-31,down,925.0,50,5,1000,1
1784552400000,KR KM30-31,up  ,1075.0,50,4,1000,1
1784552400000,KR KM20-21,down,925.0,50,5,1000,1
1784552400000,KR KM20-21,up  ,1075.0,50,4,1000,1
1784552400000,CRD KM5-6,down,925.0,50,5,1000,1
1784552400000,CRD KM5-6,up  ,1075.0,50,4,1000,1
1784556000000,TF KM54-55,down,925.0,50,5,1000,1
1784556000000,TF KM54-55,up  ,1075.0,50,4,1000,1
1784556000000,KR KM30-31,down,925.0,50,5,1000,1
1784556000000,KR KM30-31,up  ,1075.0,50,4,1000,1
1784556000000,KR KM20-21,down,925.0,50,5,1000,1
1784556000000,KR KM20-21,up  ,1075.0,50,4,1000,1
1784556000000,CRD KM5-6,down,925.0,50,5,1000,1
1784556000000,CRD KM5-6,up  ,1075.0,50,4,1000,1
1784559600000,TF KM54-55,down,925.0,50,5,1000,1
1784559600000,TF KM54-55,up  ,1075.0,50,4,1000,1
1784559600000,KR KM30-31,down,925.0,50,5,1000,1
1784559600000,KR KM30-31,up  ,1075.0,50,4,1000,1
1784559600000,KR KM20-21,down,925.0,50,5,1000,1
1784559600000,KR KM20-21,up  ,1075.0,50,4,1000,1
1784559600000,CRD KM5-6,down,925.0,50,5,1000,1
1784559600000,CRD KM5-6,up  ,1075.0,50,4,1000,1
1784563200000,TF KM54-55,down,925.0,50,5,1000,1
1784563200000,TF KM54-55,up  ,1075.0,50,4,1000,1
1784563200000,KR KM30-31,down,925.0,50,5,1000,1
1784563200000,KR KM30-31,up  ,1075.0,50,4,1000,1
1784563200000,KR KM20-21,down,925.0,50,5,1000,1
1784563200000,KR KM20-21,up  ,1075.0,50,4,1000,1
1784563200000,CRD KM5-6,down,925.0,50,5,1000,1
1784563200000,CRD KM5-6,up  ,1075.0,50,4,1000,1
1784566800000,TF KM54-55,down,925.0,50,5,1000,1
1784566800000,TF KM54-55,up  ,1075.0,50,4,1000,1
1784566800000,KR KM30-31,down,925.0,50,5,1000,1
1784566800000,KR KM30-31,up  ,1075.0,50,4,1000,1
1784566800000,KR KM20-21,down,925.0,50,5,1000,1
1784566800000,KR KM20-21,up  ,1075.0,50,4,1000,1
1784566800000,CRD KM5-6,down,925.0,50,5,1000,1
1784566800000,CRD KM5-6,up  ,1075.0,50,4,1000,1
1784570400000,TF KM54-55,down,700.0,50,8,1000,1
1784570400000,TF KM54-55,up  ,850.0,50,4,1000,1
1784570400000,KR KM30-31,down,700.0,50,8,1000,1
1784570400000,KR KM30-31,up  ,850.0,50,4,1000,1
1784570400000,KR KM20-21,down,700.0,50,8,1000,1
1784570400000,KR KM20-21,up  ,850.0,50,4,1000,1
1784570400000,CRD KM5-6,down,700.0,50,8,1000,1
1784570400000,CRD KM5-6,up  ,850.0,50,4,1000,1
1784574000000,TF KM54-55,down,700.0,50,8,1000,1
1784574000000,TF KM54-55,up  ,850.0,50,4,1000,1
1784574000000,KR KM30-31,down,700.0,50,8,1000,1
1784574000000,KR KM30-31,up  ,850.0,50,4,1000,1
1784574000000,KR KM20-21,down,700.0,50,8,1000,1
1784574000000,KR KM20-21,up  ,850.0,50,4,1000,1
1784574000000,CRD KM5-6,down,700.0,50,8,1000,1
1784574000000,CRD KM5-6,up  ,850.0,50,4,1000,1
1784577600000,TF KM54-55,down,700.0,50,8,1000,1
1784577600000,TF KM54-55,up  ,850.0,50,4,1000,1
1784577600000,KR KM30-31,down,700.0,50,8,1000,1
1784577600000,KR KM30-31,up  ,850.0,50,4,1000,1
1784577600000,KR KM20-21,down,700.0,50,8,1000,1
1784577600000,KR KM20-21,up  ,850.0,50,4,1000,1
1784577600000,CRD KM5-6,down,700.0,50,8,1000,1
1784577600000,CRD KM5-6,up  ,850.0,50,4,1000,1
1784581200000,TF KM54-55,down,925.0,50,5,1000,1
1784581200000,TF KM54-55,up  ,1075.0,50,4,1000,1
1784581200000,KR KM30-31,down,925.0,50,5,1000,1
1784581200000,KR KM30-31,up  ,1075.0,50,4,1000,1
1784581200000,KR KM20-21,down,925.0,50,5,1000,1
1784581200000,KR KM20-21,up  ,1075.0,50,4,1000,1
1784581200000,CRD KM5-6,down,925.0,50,5,1000,1
1784581200000,CRD KM5-6,up  ,1075.0,50,4,1000,1
1784584800000,TF KM54-55,down,925.0,50,5,1000,1
1784584800000,TF KM54-55,up  ,1075.0,50,4,1000,1
1784584800000,KR KM30-31,down,925.0,50,5,1000,1
1784584800000,KR KM30-31,up  ,1075.0,50,4,1000,1
1784584800000,KR KM20-21,down,925.0,50,5,1000,1
1784584800000,KR KM20-21,up  ,1075.0,50,4,1000,1
1784584800000,CRD KM5-6,down,925.0,50,5,1000,1
1784584800000,CRD KM5-6,up  ,1075.0,50,4,1000,1
1784588400000,TF KM54-55,down,925.0,50,5,1000,1
1784588400000,TF KM54-55,up  ,1075.0,50,4,1000,1
1784588400000,KR KM30-31,down,925.0,50,5,1000,1
1784588400000,KR KM30-31,up  ,1075.0,50,4,1000,1
1784588400000,KR KM20-21,down,925.0,50,5,1000,1
1784588400000,KR KM20-21,up  ,1075.0,50,4,1000,1
1784588400000,CRD KM5-6,down,925.0,50,5,1000,1
1784588400000,CRD KM5-6,up  ,1075.0,50,4,1000,1
1784620800000,TF KM54-55,down,640.0,40,6,1000,1
1784620800000,TF KM54-55,up,800.0,40,5,1000,1
1784620800000,KR KM30-31,down,640.0,40,6,1000,1
1784620800000,KR KM30-31,up,800.0,40,5,1000,1
1784620800000,KR KM20-21,down,640.0,40,6,1000,1
1784620800000,KR KM20-21,up,800.0,40,5,1000,1
1784620800000,CRD KM5-6,down,640.0,40,6,1000,1
1784620800000,CRD KM5-6,up,800.0,40,5,1000,1
1784624400000,TF KM54-55,down,640.0,40,6,1000,1
1784624400000,TF KM54-55,up,800.0,40,5,1000,1
1784624400000,KR KM30-31,down,640.0,40,6,1000,1
1784624400000,KR KM30-31,up,800.0,40,5,1000,1
1784624400000,KR KM20-21,down,640.0,40,6,1000,1
1784624400000,KR KM20-21,up,800.0,40,5,1000,1
1784624400000,CRD KM5-6,down,640.0,40,6,1000,1
1784624400000,CRD KM5-6,up,800.0,40,5,1000,1
1784628000000,TF KM54-55,down,640.0,40,6,1000,1
1784628000000,TF KM54-55,up,800.0,40,5,1000,1
1784628000000,KR KM30-31,down,640.0,40,6,1000,1
1784628000000,KR KM30-31,up,800.0,40,5,1000,1
1784628000000,KR KM20-21,down,640.0,40,6,1000,1
1784628000000,KR KM20-21,up,800.0,40,5,1000,1
1784628000000,CRD KM5-6,down,640.0,40,6,1000,1
1784628000000,CRD KM5-6,up,800.0,40,5,1000,1
1777636800000,TF KM54-55,down,99900,100,99,0,0
1784548800000,BLB KM8-9,down,5000,50,3,0,0
